MME_ID,Timestamp,Vendor,MM_AttachedUEs,MM_AttachAtt,MM_AttachSucc,CPU_Load,Paging_Attempts,MM_TAU_Att,MM_TAU_Succ,S6a_AuthInfoReq,S6a_AuthInfoSucc
MME_Lisboa_01,2025-09-10 00:00:00,Nokia,2298,188,178,42.585039891279585,105,126,119,199,197
MME_Lisboa_01,2025-09-10 00:15:00,Nokia,1660,174,164,37.29254930467208,96,71,83,206,178
MME_Lisboa_01,2025-09-10 00:30:00,Nokia,2171,228,207,39.64168162964887,71,104,92,250,196
MME_Lisboa_01,2025-09-10 00:45:00,Nokia,1517,157,150,41.17932195050817,84,55,77,188,159
MME_Lisboa_01,2025-09-10 01:00:00,Nokia,2085,229,218,41.62759429534453,89,106,98,279,222
MME_Lisboa_01,2025-09-10 01:15:00,Nokia,1594,167,163,36.44596342738272,84,74,71,190,171
MME_Lisboa_01,2025-09-10 01:30:00,Nokia,2458,238,228,37.68871672235346,113,130,106,269,234
MME_Lisboa_01,2025-09-10 01:45:00,Nokia,1835,199,188,44.962241600788346,121,99,78,231,181
MME_Lisboa_01,2025-09-10 02:00:00,Nokia,1854,161,160,40.36426439255182,61,108,86,183,157
MME_Lisboa_01,2025-09-10 02:15:00,Nokia,1595,157,153,48.503232329243744,54,60,78,169,153
MME_Lisboa_01,2025-09-10 02:30:00,Nokia,1987,190,182,49.098738781037994,90,102,100,227,200
MME_Lisboa_01,2025-09-10 02:45:00,Nokia,2144,198,191,38.65840700362326,92,118,88,209,202
MME_Lisboa_01,2025-09-10 03:00:00,Nokia,1671,138,136,34.54392582546845,63,88,78,157,147
MME_Lisboa_01,2025-09-10 03:15:00,Nokia,1261,143,138,24.683769241226905,68,59,72,153,154
MME_Lisboa_01,2025-09-10 03:30:00,Nokia,1448,106,100,29.070770314843802,31,68,78,112,97
MME_Lisboa_01,2025-09-10 03:45:00,Nokia,1676,178,166,35.06479174561844,90,103,94,197,191
MME_Lisboa_01,2025-09-10 04:00:00,Nokia,1812,187,177,40.524550430020575,83,87,84,206,184
MME_Lisboa_01,2025-09-10 04:15:00,Nokia,2211,237,232,45.00474852420647,122,114,86,272,243
MME_Lisboa_01,2025-09-10 04:30:00,Nokia,2412,251,238,46.19169821572709,135,134,109,270,260
MME_Lisboa_01,2025-09-10 04:45:00,Nokia,2151,206,198,35.98824240522337,109,116,116,224,215
MME_Lisboa_01,2025-09-10 05:00:00,Nokia,1747,183,176,41.63249288852888,89,77,83,207,191
MME_Lisboa_01,2025-09-10 05:15:00,Nokia,2153,218,211,38.308942601270154,97,109,112,222,236
MME_Lisboa_01,2025-09-10 05:30:00,Nokia,2566,292,282,28.75980925190411,130,142,118,304,310
MME_Lisboa_01,2025-09-10 05:45:00,Nokia,1829,176,170,32.53231029705669,90,95,83,189,184
MME_Lisboa_01,2025-09-10 06:00:00,Nokia,2181,185,178,41.34288387467409,93,107,119,205,185
MME_Lisboa_01,2025-09-10 06:15:00,Nokia,2366,261,248,55.529687040593046,102,122,121,289,264
MME_Lisboa_01,2025-09-10 06:30:00,Nokia,2668,281,263,45.74124866033028,94,131,134,308,274
MME_Lisboa_01,2025-09-10 06:45:00,Nokia,3825,371,360,52.18728867603408,174,176,183,419,389
MME_Lisboa_01,2025-09-10 07:00:00,Nokia,2516,246,235,44.21997895273367,101,125,129,262,252
MME_Lisboa_01,2025-09-10 07:15:00,Nokia,3970,395,367,55.03402447096785,183,196,185,432,384
MME_Lisboa_01,2025-09-10 07:30:00,Nokia,2996,296,277,52.13134799952971,148,141,146,322,284
MME_Lisboa_01,2025-09-10 07:45:00,Nokia,2891,294,276,60.965179982522386,129,133,144,324,280
MME_Lisboa_01,2025-09-10 08:00:00,Nokia,4947,527,486,73.0153303886598,183,257,227,579,522
MME_Lisboa_01,2025-09-10 08:15:00,Nokia,4107,410,401,61.02106396848188,193,191,211,429,422
MME_Lisboa_01,2025-09-10 08:30:00,Nokia,3854,365,334,54.805754835952975,188,195,174,422,349
MME_Lisboa_01,2025-09-10 08:45:00,Nokia,4018,403,376,61.50386392491799,175,216,197,451,398
MME_Lisboa_01,2025-09-10 09:00:00,Nokia,3408,342,327,61.80633432156457,137,166,172,368,341
MME_Lisboa_01,2025-09-10 09:15:00,Nokia,3592,351,345,49.27588861082413,119,162,177,388,360
MME_Lisboa_01,2025-09-10 09:30:00,Nokia,4428,441,420,60.409616080488235,190,211,220,486,423
MME_Lisboa_01,2025-09-10 09:45:00,Nokia,4148,429,401,63.92390600481689,150,197,206,484,417
MME_Lisboa_01,2025-09-10 10:00:00,Nokia,3273,303,290,58.679091684665735,131,164,148,339,307
MME_Lisboa_01,2025-09-10 10:15:00,Nokia,3102,306,299,61.42368079591788,93,152,130,354,314
MME_Lisboa_01,2025-09-10 10:30:00,Nokia,3050,283,261,60.1243120319898,105,148,153,298,275
MME_Lisboa_01,2025-09-10 10:45:00,Nokia,3740,383,354,60.23222691210984,137,195,172,419,373
MME_Lisboa_01,2025-09-10 11:00:00,Nokia,3455,334,323,52.568042104681005,171,163,179,371,337
MME_Lisboa_01,2025-09-10 11:15:00,Nokia,3128,291,278,41.650774022940034,132,173,160,328,280
MME_Lisboa_01,2025-09-10 11:30:00,Nokia,3005,298,277,58.03135525321875,136,141,155,347,288
MME_Lisboa_01,2025-09-10 11:45:00,Nokia,2701,255,241,56.17622117056131,139,137,134,287,261
MME_Lisboa_01,2025-09-10 12:00:00,Nokia,3672,387,360,59.72436210785325,168,197,169,433,360
MME_Lisboa_01,2025-09-10 12:15:00,Nokia,3960,374,365,60.29911856692677,144,200,178,420,381
MME_Lisboa_01,2025-09-10 12:30:00,Nokia,4361,453,419,66.5398793829184,216,219,228,499,439
MME_Lisboa_01,2025-09-10 12:45:00,Nokia,3522,339,313,48.75103601396414,159,192,180,379,307
MME_Lisboa_01,2025-09-10 13:00:00,Nokia,4235,421,413,59.58840542071827,168,196,201,467,418
MME_Lisboa_01,2025-09-10 13:15:00,Nokia,4336,427,405,56.105071724069994,186,226,218,455,431
MME_Lisboa_01,2025-09-10 13:30:00,Nokia,3941,406,379,61.59767848449497,174,191,161,449,391
MME_Lisboa_01,2025-09-10 13:45:00,Nokia,4917,494,461,68.11190928591853,204,264,236,557,483
MME_Lisboa_01,2025-09-10 14:00:00,Nokia,2424,232,217,35.35286910105866,117,115,104,249,234
