PGW_ID,Timestamp,SM_ActivePDNSessions,SM_PdnConnEstabAtt,SM_PdnConnEstabSucc,SGi_Volume_DL,SGi_Volume_UL,APN_Data_Volume
PGW_Lisboa_01,2025-09-10 00:00:00,967,173,165,375412194,236990384,403219944
PGW_Lisboa_01,2025-09-10 00:15:00,807,145,143,293067732,147251143,79855527
PGW_Lisboa_01,2025-09-10 00:30:00,752,139,140,226990535,69519659,93306011
PGW_Lisboa_01,2025-09-10 00:45:00,619,98,94,351951112,98727972,466317221
PGW_Lisboa_01,2025-09-10 01:00:00,953,224,223,225716940,161618104,437204866
PGW_Lisboa_01,2025-09-10 01:15:00,772,147,146,415516895,116311994,556028083
PGW_Lisboa_01,2025-09-10 01:30:00,780,94,89,228094911,159615986,-59881458
PGW_Lisboa_01,2025-09-10 01:45:00,1077,198,192,403244827,124965028,278068120
PGW_Lisboa_01,2025-09-10 02:00:00,1090,229,221,242805427,154970429,459929880
PGW_Lisboa_01,2025-09-10 02:15:00,529,90,86,140363238,18014056,278454555
PGW_Lisboa_01,2025-09-10 02:30:00,685,100,95,307130805,56190946,337301267
PGW_Lisboa_01,2025-09-10 02:45:00,834,148,146,376195601,76211784,746425769
PGW_Lisboa_01,2025-09-10 03:00:00,699,73,70,157512127,126719810,536339560
PGW_Lisboa_01,2025-09-10 03:15:00,1141,257,250,377056865,227010569,629894963
PGW_Lisboa_01,2025-09-10 03:30:00,1066,264,246,330292276,180865066,357446486
PGW_Lisboa_01,2025-09-10 03:45:00,1127,204,196,349485621,191397199,595600440
PGW_Lisboa_01,2025-09-10 04:00:00,696,147,141,251799420,5302419,373841361
PGW_Lisboa_01,2025-09-10 04:15:00,1054,250,242,215891663,93342593,589613344
PGW_Lisboa_01,2025-09-10 04:30:00,723,140,132,112232633,165808021,331940112
PGW_Lisboa_01,2025-09-10 04:45:00,1137,226,213,197028497,124068258,641769848
PGW_Lisboa_01,2025-09-10 05:00:00,997,201,200,424963013,115160623,589319812
PGW_Lisboa_01,2025-09-10 05:15:00,829,191,183,505433163,138789624,447627392
PGW_Lisboa_01,2025-09-10 05:30:00,717,142,136,361109235,140612076,761069935
PGW_Lisboa_01,2025-09-10 05:45:00,797,160,155,450986178,133205206,233456736
PGW_Lisboa_01,2025-09-10 06:00:00,1656,332,323,674392017,420770703,1123545433
PGW_Lisboa_01,2025-09-10 06:15:00,1319,233,227,445148556,302019078,869348637
PGW_Lisboa_01,2025-09-10 06:30:00,1105,184,182,399984135,201847872,919575053
PGW_Lisboa_01,2025-09-10 06:45:00,977,175,167,257926759,217798739,548269606
PGW_Lisboa_01,2025-09-10 07:00:00,1482,333,316,546385065,339256913,825776826
PGW_Lisboa_01,2025-09-10 07:15:00,1770,357,350,775697617,315166586,1027562301
PGW_Lisboa_01,2025-09-10 07:30:00,941,112,111,314674865,179845901,655549714
PGW_Lisboa_01,2025-09-10 07:45:00,1139,242,239,238303032,194005508,651852068
PGW_Lisboa_01,2025-09-10 08:00:00,1412,296,290,597593560,269022849,974052582
PGW_Lisboa_01,2025-09-10 08:15:00,1612,358,344,763809819,276501393,713411738
PGW_Lisboa_01,2025-09-10 08:30:00,1641,280,269,642693869,240274073,875752158
PGW_Lisboa_01,2025-09-10 08:45:00,1731,326,311,593411926,360909560,985641209
PGW_Lisboa_01,2025-09-10 09:00:00,1598,299,290,394331222,333145657,636644801
PGW_Lisboa_01,2025-09-10 09:15:00,1719,358,344,809006012,327436533,958541087
PGW_Lisboa_01,2025-09-10 09:30:00,1794,359,349,629991016,369823235,834153493
PGW_Lisboa_01,2025-09-10 09:45:00,1373,294,284,506173916,225317543,1064840733
PGW_Lisboa_01,2025-09-10 10:00:00,1301,219,212,365267474,177456484,800858613
PGW_Lisboa_01,2025-09-10 10:15:00,1450,306,297,611286028,176745167,654530158
PGW_Lisboa_01,2025-09-10 10:30:00,1369,260,246,497848976,252955022,1186786602
PGW_Lisboa_01,2025-09-10 10:45:00,877,233,229,255754589,239436224,206971818
PGW_Lisboa_01,2025-09-10 11:00:00,1580,362,345,503945130,182432888,1231198589
PGW_Lisboa_01,2025-09-10 11:15:00,1117,178,170,268127532,102157256,446267456
PGW_Lisboa_01,2025-09-10 11:30:00,1197,237,229,517304242,158439022,727708576
PGW_Lisboa_01,2025-09-10 11:45:00,1510,278,270,660738021,262179082,929611768
PGW_Lisboa_01,2025-09-10 12:00:00,2014,382,378,757918725,423719274,1066420812
PGW_Lisboa_01,2025-09-10 12:15:00,1747,309,299,473367547,206550270,893541868
PGW_Lisboa_01,2025-09-10 12:30:00,1893,416,405,540822693,269284419,1229024042
PGW_Lisboa_01,2025-09-10 12:45:00,2019,430,430,616607255,426637756,1032674939
PGW_Lisboa_01,2025-09-10 13:00:00,1391,271,261,670213384,217915120,524730003
PGW_Lisboa_01,2025-09-10 13:15:00,1987,421,412,803648470,500076178,1411644327
PGW_Lisboa_01,2025-09-10 13:30:00,1582,325,308,691547179,372820995,1058279836
PGW_Lisboa_01,2025-09-10 13:45:00,2184,456,438,992565873,545608953,1217800475
PGW_Lisboa_01,2025-09-10 14:00:00,1252,192,187,533260116,175010323,376064546
PGW_Lisboa_01,2025-09-10 14:15:00,857,258,246,154683581,81873456,439894537
PGW_Lisboa_01,2025-09-10 14:30:00,1403,394,383,566098147,152703829,963969263
PGW_Lisboa_01,2025-09-10 14:45:00,1160,242,232,455703615,89366319,371632597
PGW_Lisboa_01,2025-09-10 15:00:00,1632,259,250,327209956,307307500,851468087
PGW_Lisboa_01,2025-09-10 15:15:00,1484,271,268,655192910,283989215,844707618
PGW_Lisboa_01,2025-09-10 15:30:00,1119,240,229,443637921,188680262,585263432
PGW_Lisboa_01,2025-09-10 15:45:00,887,199,191,448574979,209655798,530809753
PGW_Lisboa_01,2025-09-10 16:00:00,1613,312,309,520641654,163404967,716008885
PGW_Lisboa_01,2025-09-10 16:15:00,1484,288,274,426512350,226891503,470821621
PGW_Lisboa_01,2025-09-10 16:30:00,1186,245,234,373374423,173717350,470044579
PGW_Lisboa_01,2025-09-10 16:45:00,1570,320,306,753414417,399446028,667487500
PGW_Lisboa_01,2025-09-10 17:00:00,880,136,132,167350353,149233795,127082726
PGW_Lisboa_01,2025-09-10 17:15:00,1188,229,225,443583784,173715712,476487728
PGW_Lisboa_01,2025-09-10 17:30:00,1247,249,240,458387137,215953409,690590800
PGW_Lisboa_01,2025-09-10 17:45:00,1178,269,264,304462921,215146080,534281438
PGW_Lisboa_01,2025-09-10 18:00:00,1995,402,388,1028315113,294375992,909680771
PGW_Lisboa_01,2025-09-10 18:15:00,2143,417,398,621817535,421564077,1265226078
PGW_Lisboa_01,2025-09-10 18:30:00,1717,346,344,605128543,431135779,986821176
PGW_Lisboa_01,2025-09-10 18:45:00,2326,488,472,1009635972,513219276,1444214777
PGW_Lisboa_01,2025-09-10 19:00:00,1464,307,293,563297610,167800306,951481620
PGW_Lisboa_01,2025-09-10 19:15:00,2092,460,443,979614621,487165125,1118090993
PGW_Lisboa_01,2025-09-10 19:30:00,1697,307,297,545863495,395179583,970350937
PGW_Lisboa_01,2025-09-10 19:45:00,2078,396,382,803656599,329338488,903409273
PGW_Lisboa_01,2025-09-10 20:00:00,1386,212,210,582618286,353234801,1138303323
PGW_Lisboa_01,2025-09-10 20:15:00,1826,363,342,816456686,260183216,717893605
PGW_Lisboa_01,2025-09-10 20:30:00,1830,412,405,849019447,390831217,723004347
PGW_Lisboa_01,2025-09-10 20:45:00,1491,274,263,513931130,193724077,623798683
PGW_Lisboa_01,2025-09-10 21:00:00,1882,416,397,635059850,421024089,1207250289
PGW_Lisboa_01,2025-09-10 21:15:00,2431,437,423,801801114,564928616,1465192905
PGW_Lisboa_01,2025-09-10 21:30:00,1734,329,320,548238500,260232658,742378589
PGW_Lisboa_01,2025-09-10 21:45:00,1565,320,304,459472380,330274481,966864076
PGW_Lisboa_01,2025-09-10 22:00:00,782,173,166,130919226,85760863,73482476
PGW_Lisboa_01,2025-09-10 22:15:00,865,196,184,347140647,19761648,502504626
PGW_Lisboa_01,2025-09-10 22:30:00,1167,282,279,388536120,248390990,623932374
PGW_Lisboa_01,2025-09-10 22:45:00,912,179,170,141107856,100137218,271393707
PGW_Lisboa_01,2025-09-10 23:00:00,500,110,108,209441934,206012441,346348094
PGW_Lisboa_01,2025-09-10 23:15:00,1123,250,242,356162171,126412981,707547837
PGW_Lisboa_01,2025-09-10 23:30:00,1096,212,204,252686463,145255613,233404212
PGW_Lisboa_01,2025-09-10 23:45:00,866,149,148,132966497,147054746,70623720
PGW_Lisboa_01,2025-09-11 00:00:00,788,150,140,422106217,188732295,324146385
PGW_Lisboa_01,2025-09-11 00:15:00,877,173,167,92642070,46706768,745404603
PGW_Lisboa_01,2025-09-11 00:30:00,681,118,116,369465129,95525455,180188323
PGW_Lisboa_01,2025-09-11 00:45:00,925,193,191,241222580,108299511,30722619
PGW_Lisboa_01,2025-09-11 01:00:00,942,195,193,292748058,272997489,541071764
PGW_Lisboa_01,2025-09-11 01:15:00,589,77,73,4158651,66236445,309034990
PGW_Lisboa_01,2025-09-11 01:30:00,1240,223,217,302127518,-24761164,336738231
PGW_Lisboa_01,2025-09-11 01:45:00,852,120,113,131359634,74293153,-42684052
PGW_Lisboa_01,2025-09-11 02:00:00,1252,254,233,247346810,80474476,571363107
PGW_Lisboa_01,2025-09-11 02:15:00,887,156,152,19501465,172589007,-45296006
PGW_Lisboa_01,2025-09-11 02:30:00,1038,250,242,374395766,108955989,735638089
