SMF_ID,Timestamp,SM_PduSessEstabAtt,SM_PduSessEstabSucc,SM_ActivePDUSessions,N4_SessEstabReq,N4_SessEstabSucc
SMF_Lisboa_02,2025-09-10 00:00:00,149,143,694,161,142
SMF_Lisboa_02,2025-09-10 00:15:00,239,239,1111,262,241
SMF_Lisboa_02,2025-09-10 00:30:00,209,204,1015,227,225
SMF_Lisboa_02,2025-09-10 00:45:00,248,246,1078,265,256
SMF_Lisboa_02,2025-09-10 01:00:00,52,50,444,53,53
SMF_Lisboa_02,2025-09-10 01:15:00,262,251,1039,291,269
SMF_Lisboa_02,2025-09-10 01:30:00,135,133,966,146,130
SMF_Lisboa_02,2025-09-10 01:45:00,212,201,917,237,211
SMF_Lisboa_02,2025-09-10 02:00:00,119,111,811,138,125
SMF_Lisboa_02,2025-09-10 02:15:00,197,194,964,215,196
SMF_Lisboa_02,2025-09-10 02:30:00,177,172,719,188,176
SMF_Lisboa_02,2025-09-10 02:45:00,249,239,1057,259,236
SMF_Lisboa_02,2025-09-10 03:00:00,171,161,989,192,166
SMF_Lisboa_02,2025-09-10 03:15:00,239,231,1130,264,245
SMF_Lisboa_02,2025-09-10 03:30:00,180,177,848,220,188
SMF_Lisboa_02,2025-09-10 03:45:00,205,196,1019,240,194
SMF_Lisboa_02,2025-09-10 04:00:00,129,124,719,147,129
SMF_Lisboa_02,2025-09-10 04:15:00,166,162,825,174,180
SMF_Lisboa_02,2025-09-10 04:30:00,171,162,971,194,183
SMF_Lisboa_02,2025-09-10 04:45:00,222,214,1202,238,208
SMF_Lisboa_02,2025-09-10 05:00:00,265,254,995,298,260
SMF_Lisboa_02,2025-09-10 05:15:00,193,189,843,223,205
SMF_Lisboa_02,2025-09-10 05:30:00,213,205,1091,223,212
SMF_Lisboa_02,2025-09-10 05:45:00,185,182,1049,187,198
SMF_Lisboa_02,2025-09-10 06:00:00,303,298,1423,351,310
SMF_Lisboa_02,2025-09-10 06:15:00,289,271,1266,338,293
SMF_Lisboa_02,2025-09-10 06:30:00,379,367,1860,429,394
SMF_Lisboa_02,2025-09-10 06:45:00,268,262,1451,269,277
SMF_Lisboa_02,2025-09-10 07:00:00,346,337,1565,367,352
SMF_Lisboa_02,2025-09-10 07:15:00,367,357,1590,377,364
SMF_Lisboa_02,2025-09-10 07:30:00,268,269,1282,286,286
SMF_Lisboa_02,2025-09-10 07:45:00,322,303,1688,352,326
SMF_Lisboa_02,2025-09-10 08:00:00,370,347,1820,398,373
SMF_Lisboa_02,2025-09-10 08:15:00,458,445,2181,502,474
SMF_Lisboa_02,2025-09-10 08:30:00,368,350,1995,406,366
SMF_Lisboa_02,2025-09-10 08:45:00,411,386,2017,442,411
SMF_Lisboa_02,2025-09-10 09:00:00,439,433,2527,481,441
SMF_Lisboa_02,2025-09-10 09:15:00,255,240,1270,276,248
SMF_Lisboa_02,2025-09-10 09:30:00,445,438,2156,480,451
SMF_Lisboa_02,2025-09-10 09:45:00,485,463,2394,526,499
SMF_Lisboa_02,2025-09-10 10:00:00,278,271,1656,309,294
SMF_Lisboa_02,2025-09-10 10:15:00,301,293,1414,325,315
SMF_Lisboa_02,2025-09-10 10:30:00,316,296,1390,343,301
SMF_Lisboa_02,2025-09-10 10:45:00,306,299,1608,339,314
SMF_Lisboa_02,2025-09-10 11:00:00,290,280,1463,307,291
SMF_Lisboa_02,2025-09-10 11:15:00,284,273,1403,308,283
SMF_Lisboa_02,2025-09-10 11:30:00,287,277,1427,311,290
SMF_Lisboa_02,2025-09-10 11:45:00,277,272,1204,316,296
SMF_Lisboa_02,2025-09-10 12:00:00,278,262,1418,308,272
SMF_Lisboa_02,2025-09-10 12:15:00,298,287,1565,326,300
SMF_Lisboa_02,2025-09-10 12:30:00,383,373,1751,426,383
SMF_Lisboa_02,2025-09-10 12:45:00,301,292,1721,319,296
SMF_Lisboa_02,2025-09-10 13:00:00,266,257,1147,288,269
SMF_Lisboa_02,2025-09-10 13:15:00,377,365,2106,406,370
SMF_Lisboa_02,2025-09-10 13:30:00,274,266,1367,314,291
SMF_Lisboa_02,2025-09-10 13:45:00,334,322,1694,379,335
SMF_Lisboa_02,2025-09-10 14:00:00,200,191,1060,209,194
SMF_Lisboa_02,2025-09-10 14:15:00,272,268,1229,296,285
SMF_Lisboa_02,2025-09-10 14:30:00,404,381,1811,443,392
SMF_Lisboa_02,2025-09-10 14:45:00,351,345,1502,389,369
SMF_Lisboa_02,2025-09-10 15:00:00,217,212,1260,223,216
SMF_Lisboa_02,2025-09-10 15:15:00,300,294,1393,321,313
SMF_Lisboa_02,2025-09-10 15:30:00,333,328,1518,356,335
SMF_Lisboa_02,2025-09-10 15:45:00,301,295,1438,329,314
SMF_Lisboa_02,2025-09-10 16:00:00,194,185,1187,196,200
SMF_Lisboa_02,2025-09-10 16:15:00,296,298,1561,326,305
SMF_Lisboa_02,2025-09-10 16:30:00,314,300,1673,347,309
SMF_Lisboa_02,2025-09-10 16:45:00,307,299,1755,346,316
SMF_Lisboa_02,2025-09-10 17:00:00,294,287,1388,302,313
SMF_Lisboa_02,2025-09-10 17:15:00,280,268,1494,316,281
SMF_Lisboa_02,2025-09-10 17:30:00,211,206,1160,240,207
