UPF_ID,Timestamp,GTP_N3_Octets_DL,GTP_N3_Octets_UL,GTP_N3_Packets_DL,GTP_N3_Packets_UL,N6_Throughput_DL,N6_Throughput_UL,Packet_Loss_Rate_UL
UPF_Lisboa_01,2025-09-10 00:00:00,320218338,154242510,104826,78081,2.728823422396407,1.0847658574841612,0.03190176900585327
UPF_Lisboa_01,2025-09-10 00:15:00,-957843,101315979,176125,62038,0.8319375628756163,0.6596324563286782,0.08239647570486588
UPF_Lisboa_01,2025-09-10 00:30:00,39208777,9793240,138903,99258,0.5513264375354463,0.0,0.07125433258121174
UPF_Lisboa_01,2025-09-10 00:45:00,381154212,93377035,157445,65616,5.185906998636218,3.192494446288702,0.08442255619441054
UPF_Lisboa_01,2025-09-10 01:00:00,508500221,115833753,358862,262330,3.7951496558099924,2.497457413271445,0.09118094738958336
UPF_Lisboa_01,2025-09-10 01:15:00,197421404,147598559,196063,63444,4.824301247867741,1.4773097617908548,0.07184080648406836
UPF_Lisboa_01,2025-09-10 01:30:00,83699057,324497939,306260,81065,5.053949502861172,2.170412171792959,0.07899438046018363
UPF_Lisboa_01,2025-09-10 01:45:00,389397069,192366097,59544,213847,2.2689823240831313,1.0120025904011851,0.08129313448849536
UPF_Lisboa_01,2025-09-10 02:00:00,58945376,220649133,175376,108530,3.18555060521216,2.0841076338866076,0.1994126279278348
UPF_Lisboa_01,2025-09-10 02:15:00,350579900,319784259,538409,143413,5.113444584862782,2.4598341163835244,0.11110562989103676
UPF_Lisboa_01,2025-09-10 02:30:00,478961514,126721307,314911,99465,3.1991020234442544,1.2040015086326692,0.16160633101588578
UPF_Lisboa_01,2025-09-10 02:45:00,341305382,175765417,202694,120561,2.0189507292548314,2.7971381952446235,0.043035999893144355
UPF_Lisboa_01,2025-09-10 03:00:00,665159054,157625183,50351,113440,3.3164504765781295,2.332551937995094,0.12157375192047053
UPF_Lisboa_01,2025-09-10 03:15:00,218053021,235256854,245080,89455,3.3549319137365767,2.7062912986875896,0.03686647504298374
UPF_Lisboa_01,2025-09-10 03:30:00,280565398,65109292,216280,76298,1.6969096181690246,2.880557179419527,0.0916981370812472
UPF_Lisboa_01,2025-09-10 03:45:00,-6807571,78119886,297056,196937,1.6625245688375911,0.8957779632325333,0.14004738521658902
UPF_Lisboa_01,2025-09-10 04:00:00,830701826,273539360,110679,105945,2.6733917715530993,1.5078513495625223,0.049394248830843146
UPF_Lisboa_01,2025-09-10 04:15:00,441439339,256012244,144963,172156,4.642576119365417,3.960667700923845,0.15488823909187793
UPF_Lisboa_01,2025-09-10 04:30:00,128845699,206914281,96796,90498,0.0,0.6162158252262396,0.1076170462114056
UPF_Lisboa_01,2025-09-10 04:45:00,199486440,223813934,358091,62839,4.844182911041816,3.2142500761280237,0.19972271700422062
UPF_Lisboa_01,2025-09-10 05:00:00,380852019,75391853,207455,96258,5.032145202678162,2.2077786644054176,0.18234375994125926
UPF_Lisboa_01,2025-09-10 05:15:00,441931560,223570725,247743,164549,2.1146383669324873,2.633518961754735,0.08869288988951443
UPF_Lisboa_01,2025-09-10 05:30:00,252338209,139715774,162436,42297,3.6824843943524566,1.7200684237050612,0.12170417756136803
UPF_Lisboa_01,2025-09-10 05:45:00,10927867,241489478,98299,66784,4.356175154791676,1.4329777482945791,0.0
UPF_Lisboa_01,2025-09-10 06:00:00,556364753,348321573,462227,200461,5.8185530237705105,5.341818950795537,0.09704663222888928
UPF_Lisboa_01,2025-09-10 06:15:00,672312724,243514562,353811,244302,5.059661337493453,2.943226147365956,0.1290783680856664
UPF_Lisboa_01,2025-09-10 06:30:00,541332524,301937047,391663,173356,4.484472465621305,3.448446324368238,0.07664624640969155
UPF_Lisboa_01,2025-09-10 06:45:00,524670470,251747648,510140,192816,7.545153542652004,2.2904557673598855,0.11123073999050331
UPF_Lisboa_01,2025-09-10 07:00:00,534762238,261855698,472944,233215,6.979820624840184,3.8784379550256496,0.11169912947774184
UPF_Lisboa_01,2025-09-10 07:15:00,573686702,257741285,336860,162271,6.895801166261447,2.606027847535932,0.081395561842278
UPF_Lisboa_01,2025-09-10 07:30:00,611982142,326478341,493583,207531,7.862600710401132,3.847088686661886,0.1779945493045983
UPF_Lisboa_01,2025-09-10 07:45:00,281921457,294063886,509677,242707,5.713818865317028,3.2426752812669144,0.1050874269963459
UPF_Lisboa_01,2025-09-10 08:00:00,871811884,392514890,444600,220473,9.017417264525154,3.242068661485073,0.11345057019167323
UPF_Lisboa_01,2025-09-10 08:15:00,973087877,355125383,590360,329819,9.485300578751406,4.616924951397832,0.14732975994582007
UPF_Lisboa_01,2025-09-10 08:30:00,1276079008,351380415,612802,249721,12.255178612957202,6.080785593897103,0.08228314471192255
UPF_Lisboa_01,2025-09-10 08:45:00,754836629,402399111,583917,273577,9.915946660056148,4.031123655899386,0.1095469984660487
UPF_Lisboa_01,2025-09-10 09:00:00,944170440,380056375,499245,151898,5.218143723023838,3.09298997407845,0.09560295474740485
UPF_Lisboa_01,2025-09-10 09:15:00,656761419,266522176,341014,94606,3.439627210896199,2.962223298143959,0.13460638480938836
UPF_Lisboa_01,2025-09-10 09:30:00,569330394,295820605,325437,185903,7.604021022996449,4.623790508939876,0.11847446246758896
UPF_Lisboa_01,2025-09-10 09:45:00,986314825,467458500,738117,385847,10.251864587965965,5.465947658398441,0.11742293250311428
UPF_Lisboa_01,2025-09-10 10:00:00,912923371,332471931,531971,189503,7.545199510168334,4.389007213136088,0.11329946430600296
UPF_Lisboa_01,2025-09-10 10:15:00,471481753,298142647,495432,75619,5.6331326906921655,4.527154198829217,0.005786837133938516
UPF_Lisboa_01,2025-09-10 10:30:00,769549125,232755453,345803,100544,7.156301712307437,3.4579854733787436,0.05430642294432802
UPF_Lisboa_01,2025-09-10 10:45:00,771375336,363380287,434274,263314,4.505819789207581,5.18378412367001,0.11127986672566395
UPF_Lisboa_01,2025-09-10 11:00:00,857877047,284065858,495762,298262,7.32740446995721,5.1989639700808565,0.1629117043821009
UPF_Lisboa_01,2025-09-10 11:15:00,444690864,303411938,376484,94074,6.233067835213277,3.7265723253035232,0.03858835159547339
UPF_Lisboa_01,2025-09-10 11:30:00,600845080,204665936,424885,244305,5.833114269544179,2.584855808069218,0.056794919186100544
UPF_Lisboa_01,2025-09-10 11:45:00,426979628,171390442,488319,203172,4.857650432094233,3.6213502925905567,0.07888947761814287
UPF_Lisboa_01,2025-09-10 12:00:00,983684658,334060428,705365,343688,8.376286250598664,4.787260429113078,0.04473842376577415
UPF_Lisboa_01,2025-09-10 12:15:00,876256158,511103603,690102,282372,10.543993016667827,5.742993843388624,0.1285561365972513
UPF_Lisboa_01,2025-09-10 12:30:00,611675268,354292691,510498,98778,4.757293396677749,3.6100427441127114,0.04875304845291775
